u,g,r,i,z,class
17.98227,16.77555,16.31778,16.0655,15.93756,GALAXY
20.34237,19.06798,19.12846,19.22815,19.29539,GALAXY
25.2766,23.35403,20.62502,19.40172,19.01909,GALAXY
19.58224,17.84509,16.91743,16.45711,16.0843,GALAXY
25.79479,23.17587,21.19236,20.02884,19.74816,GALAXY
20.32376,18.37952,17.22099,16.7115,16.30237,GALAXY
22.78152,20.31057,20.05861,20.04325,20.26729,QSO
21.16318,19.12166,17.8152,17.32384,16.96955,GALAXY
20.74914,18.88725,17.86475,17.41945,17.09394,GALAXY
25.01493,21.96806,20.41917,19.37656,18.86184,GALAXY
25.05528,21.76032,20.41343,19.5434,19.00176,GALAXY
24.6763,20.70823,18.94552,18.31677,17.93556,GALAXY
21.72397,20.80093,19.17296,18.45712,18.03954,GALAXY
24.04539,22.99586,20.96808,19.87512,19.40286,GALAXY
22.98999,19.43296,17.67278,17.05616,16.64064,GALAXY
23.00723,21.96058,20.09018,19.25386,18.78918,GALAXY
23.58764,21.65398,19.68987,18.7712,18.2712,GALAXY
20.78316,19.30995,17.87178,17.29606,16.94242,GALAXY
21.05622,19.17457,18.08157,17.60691,17.17383,GALAXY
22.80264,21.59327,19.77908,18.90401,18.42113,GALAXY
21.74064,21.19028,20.43096,19.66901,19.42547,GALAXY
25.50288,22.18025,20.51631,19.61397,19.22058,GALAXY
21.33228,20.39214,20.30211,20.39693,19.96049,QSO
23.08308,21.62292,19.71186,19.0303,18.48564,GALAXY
19.63153,17.63577,16.48274,16.02009,15.63605,GALAXY
24.52724,22.78879,21.11724,20.24075,19.73662,GALAXY
21.48692,18.92706,17.55129,17.01265,16.6468,GALAXY
18.45197,18.24435,17.94294,17.76114,17.65912,QSO
20.29324,19.62383,19.52236,19.52178,19.33071,QSO
19.67403,18.71599,17.82845,17.41639,17.12672,GALAXY
22.73704,20.87296,19.06096,18.38624,17.92872,GALAXY
21.93847,20.9269,20.82239,20.61826,20.36897,QSO
23.45523,21.74165,19.80495,19.12441,18.56809,GALAXY
19.83209,18.68774,18.02949,17.58438,17.42045,GALAXY
21.41006,19.35535,17.86669,17.3231,16.95127,GALAXY
19.70192,18.23401,17.50678,17.13414,16.90355,GALAXY
22.19494,19.49115,18.06449,17.52281,17.10871,GALAXY
26.38681,22.47963,20.305,19.41196,18.95882,GALAXY
20.42859,19.23442,18.68942,18.35072,18.32678,GALAXY
22.36568,21.22038,20.60755,19.53524,20.04668,GALAXY
19.47674,17.95767,17.43525,17.13497,17.04401,GALAXY
21.91726,19.32621,17.64188,16.99785,16.57598,GALAXY
21.10345,20.36166,20.19798,20.13145,19.84786,QSO
19.3048,17.5711,16.72036,16.26595,15.95368,GALAXY
23.70862,22.61798,21.02133,19.99233,19.63127,GALAXY
23.8666,22.28848,20.6071,19.70278,19.28305,GALAXY
20.54581,20.25809,20.02454,19.93312,19.89638,QSO
24.25567,22.187,20.44146,19.56108,19.18342,GALAXY
21.58968,18.83732,17.43226,16.91017,16.5486,GALAXY
20.34344,18.75701,17.55135,17.0361,16.71956,GALAXY
21.73178,20.68183,18.93895,18.31369,17.88751,GALAXY
17.85271,17.75099,17.74959,17.51455,17.45803,QSO
22.08494,22.30199,19.65809,18.54014,18.29544,GALAXY
19.27249,18.938,19.07538,18.97121,18.53289,QSO
20.60986,18.46996,17.3296,16.79349,16.35425,GALAXY
21.94803,20.27411,18.44028,17.7695,17.34402,GALAXY
25.74365,22.60889,20.84894,19.81169,19.3285,GALAXY
24.85781,21.78552,19.85272,18.68822,18.4428,GALAXY
20.08903,19.82438,19.448,19.365,19.36702,QSO
25.04541,22.45787,20.91319,19.90654,19.33404,GALAXY
23.80496,21.19506,19.31242,18.35383,17.86157,GALAXY
24.67923,21.51859,19.57971,18.92663,18.45561,GALAXY
20.66453,18.6908,17.60101,17.08024,16.69262,GALAXY
22.33849,21.73944,21.59107,21.45024,21.17284,QSO
24.1452,21.70585,19.96924,19.13308,18.64669,GALAXY
23.76758,21.89981,20.32348,19.32592,18.7948,GALAXY
23.63416,22.68292,20.70789,19.59685,19.17253,GALAXY
20.20482,18.65708,17.83915,17.4147,17.19513,GALAXY
24.09011,20.60852,19.98316,18.79149,18.14007,GALAXY
27.3929,21.93137,20.86183,19.29397,18.75545,GALAXY
21.84088,21.36844,19.88129,18.64252,18.47433,GALAXY
23.76098,21.77344,20.48699,19.48186,18.883,GALAXY
26.14137,21.92599,20.43322,19.5788,19.18315,GALAXY
21.94469,21.6675,20.35254,19.49,19.02107,GALAXY
20.41668,18.71892,17.5934,17.12116,16.74017,GALAXY
20.17545,19.83293,19.73058,19.7314,19.53598,QSO
18.76341,17.11605,16.61655,16.39966,16.28634,GALAXY
21.94088,21.27052,21.10985,21.05686,20.87111,QSO
24.34936,21.8861,20.1759,19.3663,18.89788,GALAXY
20.62726,18.77675,17.9659,17.52599,17.22059,GALAXY
18.91692,16.93604,15.83266,15.37132,14.97262,GALAXY
23.8162,22.3806,20.7569,19.75104,19.07675,GALAXY
24.9878,22.80861,21.25797,20.23486,19.9142,GALAXY
20.4616,18.80434,17.53332,17.02339,16.66226,GALAXY
20.38711,20.21568,20.14153,19.83975,19.70857,QSO
23.83768,22.04677,20.67909,19.87953,19.37291,GALAXY
20.0284,19.47989,19.04255,18.71306,18.44809,QSO
20.68709,18.66831,17.59892,17.11306,16.75976,GALAXY
19.67141,18.08891,17.35511,16.96158,16.71457,GALAXY
22.74023,22.20214,21.18665,20.34359,20.09475,GALAXY
20.81622,18.75084,17.73223,17.20919,16.96252,QSO
20.84157,18.71619,17.60081,17.15211,16.8252,GALAXY
25.87562,22.12127,20.32607,19.30778,18.88501,GALAXY
21.14046,19.23132,17.89202,17.35006,16.96466,GALAXY
25.73482,23.37012,21.37574,20.0627,19.43544,GALAXY
21.93308,22.18373,20.29094,19.39329,18.86641,GALAXY
23.14366,22.5839,20.80358,19.87156,19.48671,QSO
18.58473,17.54012,16.96185,16.59851,16.397,GALAXY
21.64396,21.19437,21.19511,21.03883,20.58293,QSO
20.37179,19.10973,17.94385,17.3866,17.00917,GALAXY
22.14515,21.63019,21.41537,21.52033,20.80389,QSO
24.60617,22.37618,20.49064,19.31077,18.84646,GALAXY
21.82975,21.59599,20.35389,19.3658,18.8772,GALAXY
19.99359,18.06732,16.82661,16.33699,15.98619,GALAXY
23.39752,22.28478,20.58903,19.6275,19.18672,GALAXY
24.04537,21.45887,19.58548,18.60836,18.1122,GALAXY
19.20257,18.90066,18.7014,18.562,18.36379,QSO
24.32466,21.48688,19.6063,18.8655,18.50748,GALAXY
25.40987,22.27946,20.62942,19.75973,19.35249,GALAXY
20.27293,20.00281,19.85488,19.98336,19.62137,QSO
25.00142,21.92928,20.47457,19.57074,19.09672,QSO
22.70413,22.47989,20.69888,19.34325,19.02623,GALAXY
21.08141,19.00819,17.78509,17.26755,16.88258,GALAXY
22.64688,20.67011,18.95346,18.28832,17.87971,GALAXY
21.95027,21.32246,20.60126,19.84104,19.32329,GALAXY
23.31235,23.39025,21.10886,19.81442,19.26251,GALAXY
24.30401,21.67094,19.97265,19.12598,18.62827,GALAXY
24.97402,22.16336,20.27679,19.14133,18.76855,GALAXY
22.67148,19.92214,18.45379,17.85484,17.52242,GALAXY
26.39373,22.8054,20.74773,19.71203,19.21707,GALAXY
19.75633,18.55331,18.00361,17.72646,17.6157,GALAXY
18.6844,16.64363,15.72112,15.27333,14.94194,GALAXY
23.38017,21.1213,19.38098,18.69654,18.29808,GALAXY
22.03791,21.03707,20.66713,20.08776,19.90674,QSO
25.94199,22.35361,20.94166,19.92044,19.36218,GALAXY
18.02971,16.8872,16.42735,16.15031,15.96064,GALAXY
22.75297,22.2543,20.70019,19.58965,19.17646,GALAXY
25.12223,22.67932,20.67497,19.44302,18.97722,GALAXY
18.87614,16.81418,15.79505,15.26237,14.87802,GALAXY
25.3029,22.7271,20.97769,19.88327,19.37978,GALAXY
24.24519,21.78101,20.1738,19.34208,18.81376,GALAXY
20.62773,20.49325,20.5387,20.35269,20.06454,QSO
20.84929,18.70355,17.44965,16.90118,16.54806,GALAXY
24.17484,23.30428,21.56284,20.423,20.08152,GALAXY
25.78581,22.24525,20.62062,19.7588,19.40163,GALAXY
22.95638,21.98806,20.61793,19.85349,19.55227,GALAXY
23.41548,21.03578,19.2407,18.53465,18.0333,GALAXY
22.38324,20.83158,19.08797,18.43494,18.10058,GALAXY
20.16169,18.1477,16.99747,16.4589,16.0804,GALAXY
20.88844,18.74703,17.4904,16.97182,16.5488,GALAXY
24.53564,22.31161,20.36298,19.50488,19.06683,GALAXY
24.62637,23.50646,21.45848,20.07813,19.53633,GALAXY
20.32823,18.49827,17.47159,17.0324,16.668,GALAXY
20.24168,18.61613,17.5985,17.14477,16.79692,GALAXY
23.37521,22.66452,20.65511,19.55899,19.08238,GALAXY
23.93732,21.49027,19.66345,18.78324,18.27637,GALAXY
23.59519,24.3114,21.109,20.00824,19.5728,GALAXY
25.33398,20.46387,19.97369,19.78759,19.59688,QSO
22.79714,21.20809,19.43058,18.72138,18.38395,GALAXY
22.72363,20.21481,18.52861,17.90692,17.41609,GALAXY
25.2358,22.9023,20.60484,19.41847,18.93487,GALAXY
20.02073,18.50537,17.79308,17.38757,17.11779,GALAXY
19.31544,19.78773,20.34932,20.61903,20.95611,QSO
20.96551,18.73184,17.75551,17.29532,16.85336,GALAXY
20.97244,18.9337,17.70386,17.22865,16.92026,GALAXY
24.80712,22.12428,20.2642,19.39444,19.02404,GALAXY
21.05944,20.56828,20.50614,20.4072,20.08266,QSO
25.22977,22.62634,21.03018,19.97776,19.57029,GALAXY
20.57092,18.67557,17.56943,17.05379,16.67466,GALAXY
27.8185,20.85442,19.20043,18.14829,18.08891,GALAXY
22.71273,22.82966,20.16307,19.11648,18.62916,GALAXY
19.73521,17.75364,16.79573,16.35452,15.98253,GALAXY
19.11795,18.11997,17.2342,16.82861,16.62944,GALAXY
23.31904,20.70609,18.85065,18.2272,17.83473,GALAXY
18.16796,16.86752,16.39676,16.06866,15.90084,GALAXY
20.2567,18.93524,18.01191,17.5507,17.21022,GALAXY
25.43034,23.28841,20.89368,19.75384,19.2055,GALAXY
21.97684,21.29686,21.1768,21.35388,20.8276,QSO
20.01488,20.03523,20.32074,20.61339,21.05093,QSO
22.81872,20.72277,18.97267,18.365,17.9399,GALAXY
19.44547,19.24201,19.18287,19.1473,18.98858,QSO
21.31034,19.058,17.73376,17.19512,16.77653,GALAXY
25.54193,22.65087,20.77275,19.85402,19.58784,GALAXY
20.48819,18.49616,17.53503,17.04703,16.71262,GALAXY
24.63501,23.31312,21.83764,20.91463,20.85895,QSO
21.86266,20.61932,20.46157,20.37268,20.28613,QSO
24.59704,23.8382,21.26338,20.02098,19.42545,GALAXY
23.36539,21.39214,19.60789,18.99433,18.62983,GALAXY
20.57697,18.50073,17.32643,16.85,16.54451,GALAXY
22.72236,21.48853,19.75003,18.82064,18.38169,GALAXY
19.66961,17.5285,16.4488,15.90206,15.44669,GALAXY
25.04164,22.19341,20.67672,19.59275,19.24722,GALAXY
22.62502,21.83297,21.37029,21.22495,22.18436,QSO
23.28623,23.2471,21.39167,20.29696,19.97643,GALAXY
23.28993,22.2697,21.04627,19.94368,19.2716,GALAXY
22.17799,19.02588,17.84695,17.33659,16.91565,GALAXY
22.04323,21.31713,21.3008,21.36333,21.16568,QSO
23.30298,22.95395,21.1026,19.98404,19.6053,GALAXY
22.80804,21.67411,21.56239,21.50047,20.91774,QSO
22.62515,22.67037,21.10662,19.95588,19.45101,GALAXY
25.41898,21.80948,19.9292,18.98064,18.50829,GALAXY
22.99804,22.10349,20.5454,19.68243,19.34192,GALAXY
23.71214,21.48307,20.34374,19.90107,20.04101,QSO
24.79271,23.73907,20.73018,19.61682,19.07038,GALAXY
22.14455,19.28944,17.72451,17.139,16.77268,GALAXY
24.1127,21.43354,19.85431,19.01815,18.61265,GALAXY
20.42348,18.67426,17.65312,17.17594,16.77526,GALAXY
22.98393,20.84783,19.01397,18.30456,17.78372,GALAXY
23.1431,22.16518,20.48337,19.57033,19.14149,GALAXY
19.68313,18.7282,17.7233,17.26909,16.89717,GALAXY
20.59993,18.71318,17.50213,16.989,16.58358,GALAXY
19.33189,18.01769,17.61114,17.40202,17.24282,GALAXY
25.45084,22.35394,20.49155,19.46111,18.9792,GALAXY
23.13531,20.96725,18.93043,18.31285,17.89608,GALAXY
21.26441,18.96943,17.66324,17.1046,16.76135,GALAXY
18.25838,16.36662,15.45049,14.99915,14.624,GALAXY
24.77229,22.39697,20.65916,19.72831,19.21839,GALAXY
23.53101,21.12465,20.02502,19.54163,19.43027,QSO
22.00641,21.41213,21.39485,21.35517,21.42898,QSO
23.4322,22.36692,20.48142,19.65009,19.36354,GALAXY
20.13416,18.62581,17.55565,17.06675,16.76642,GALAXY
23.22766,20.84465,19.04706,18.43144,18.07161,GALAXY
25.28972,21.43575,19.41444,18.75532,18.23322,GALAXY
22.26819,21.33644,19.79214,18.86885,18.32807,GALAXY
20.85931,18.81226,17.67563,17.17635,16.81161,GALAXY
23.35148,20.63546,19.00045,18.34915,17.96343,GALAXY
19.53713,19.27036,19.04065,18.82653,18.87811,QSO
21.65468,20.95964,20.77532,20.70604,20.64498,QSO
23.76756,22.30985,21.28669,20.29753,20.98319,GALAXY
25.22697,22.33468,20.51956,19.52769,19.07776,GALAXY
21.32529,18.91966,17.60427,17.07413,16.7048,GALAXY
24.8956,23.13402,21.36288,20.16452,19.66209,GALAXY
18.50711,16.7016,15.7911,15.29529,14.84371,GALAXY
22.31616,21.31914,21.17166,21.12587,20.68022,QSO
23.28424,22.17392,20.30985,19.22235,18.555,GALAXY
19.71467,18.61166,17.86896,17.46926,17.24609,GALAXY
23.55434,20.65772,18.77887,18.05935,17.64755,GALAXY
20.47462,18.99807,17.94968,17.45041,17.19486,GALAXY
23.08866,20.99423,19.21363,18.42568,18.00507,GALAXY
25.45232,20.67108,19.02761,18.37486,17.98319,GALAXY
20.22518,18.09113,17.091,16.65756,16.34811,GALAXY
24.32895,21.67897,20.26431,19.50057,19.10349,GALAXY
20.74844,20.22442,20.25513,20.02793,19.94012,QSO
24.36466,21.76933,20.25631,19.47553,18.94663,GALAXY
21.50927,19.68608,18.08114,17.51408,17.13915,GALAXY
18.54282,17.39553,16.93441,16.64284,16.41668,GALAXY
23.16026,21.80581,21.39788,21.32739,20.85799,QSO
18.89375,17.23771,16.42358,16.0046,15.69255,GALAXY
20.92939,18.51675,17.1587,16.64246,16.23504,GALAXY
19.52699,19.45387,19.19825,19.17505,19.27325,QSO
24.53553,22.33503,21.11852,19.91776,19.45556,GALAXY
21.95617,21.06469,20.96397,20.98121,20.73064,QSO
20.10362,19.92293,19.86401,19.69104,19.70609,QSO
26.13218,22.36229,20.48739,19.40978,18.90506,GALAXY
22.2911,20.80518,19.07598,18.41364,17.96947,GALAXY
19.66432,18.10203,17.32693,16.90064,16.63195,GALAXY
19.99118,19.46528,19.26277,19.06829,18.73125,QSO
19.6211,17.78168,16.77101,16.30023,15.94828,GALAXY
19.41744,17.3108,16.16957,15.6957,15.32304,GALAXY
24.61973,21.81203,21.32397,21.48503,21.46885,QSO
20.97932,18.84756,17.39409,16.86515,16.49469,GALAXY
22.50346,22.919,20.93327,19.70208,19.27284,GALAXY
26.0483,22.32528,20.47225,19.64463,18.84051,GALAXY
20.3464,18.57446,17.71649,17.30648,17.01572,GALAXY
25.75188,22.46017,20.49738,19.55544,18.97149,GALAXY
19.88362,19.37424,19.22533,19.03546,18.78394,QSO
24.14499,22.91411,20.94912,19.80048,19.44391,GALAXY
25.54018,22.53394,20.71295,19.84081,19.32771,GALAXY
18.78055,18.52979,18.64552,18.35298,17.94574,QSO
23.02692,21.82675,20.05861,19.2231,18.75727,GALAXY
20.80259,19.1083,17.76105,17.24406,16.90014,GALAXY
20.68183,19.92798,19.34848,18.8994,18.90242,QSO
19.31739,17.96845,17.14565,16.61234,16.32481,GALAXY
19.15502,17.93954,17.22194,16.80885,16.57913,GALAXY
20.05612,18.49614,17.60222,17.12875,16.76239,GALAXY
25.0992,22.79333,20.78939,19.67687,19.31527,GALAXY
20.5467,18.61103,17.4455,16.95543,16.53694,GALAXY
24.36106,21.99081,20.67321,19.30724,18.72659,GALAXY
22.4557,21.82703,19.97959,19.15626,18.59965,GALAXY
21.87847,20.56407,18.87921,18.24487,17.79454,GALAXY
22.97211,21.84321,21.78857,21.70351,21.63713,QSO
24.05187,21.1988,19.31563,18.6551,18.30667,GALAXY
19.78374,18.16937,17.35687,16.92241,16.60577,GALAXY
27.94097,21.70765,19.9316,18.96122,18.31982,GALAXY
24.96576,21.12934,19.3461,18.6924,18.24125,GALAXY
19.25012,19.14655,19.03382,18.75159,18.55881,QSO
22.57955,21.28899,20.92387,20.20499,20.00971,QSO
18.09997,16.00041,15.10419,14.73239,14.42586,GALAXY
22.70933,21.89413,21.7523,21.63901,21.46577,QSO
25.44556,21.90177,20.54493,19.45658,18.92071,GALAXY
26.11557,22.41345,20.88508,19.94077,19.32551,GALAXY
18.96472,17.71408,17.16383,16.874,16.80807,GALAXY
22.46103,21.24426,19.41053,18.7218,18.35555,GALAXY
24.21885,21.14934,20.44893,19.62636,23.66487,GALAXY
23.5583,22.90871,20.75522,19.56523,19.03806,GALAXY
22.90619,21.4894,19.4668,18.81723,18.44735,GALAXY
20.7713,18.78682,17.57358,17.05923,16.66091,GALAXY
25.1667,21.48652,19.56824,18.62133,18.20125,GALAXY
21.75055,19.94592,18.53869,17.90155,17.48188,GALAXY
19.34293,17.49487,16.56111,16.09622,15.72342,GALAXY
21.37289,19.12915,17.83376,17.2976,16.95206,GALAXY
20.47897,18.68107,17.61849,17.12141,16.82142,GALAXY
20.09223,19.4677,18.33638,17.8181,17.44248,QSO
21.47858,20.85612,20.79043,20.7904,20.27051,QSO
19.51346,18.35538,17.92898,17.61308,17.50142,GALAXY
23.95652,21.11638,19.45321,18.70417,18.19692,GALAXY
19.05603,18.92493,18.75721,18.37333,18.33748,QSO
22.28456,22.28558,20.93678,19.79984,19.45055,GALAXY
19.52472,18.17562,17.39784,16.92937,16.71541,QSO
23.35697,21.49628,19.65784,18.93381,18.46767,GALAXY
19.23619,17.88816,17.22766,16.77636,16.56133,GALAXY
23.10135,22.13398,20.17818,19.23466,18.70685,GALAXY
23.32482,22.13342,20.48386,19.55313,19.33001,GALAXY
19.77161,18.3011,17.56067,17.16344,16.89884,GALAXY
21.99231,23.22669,21.3454,19.67216,19.66102,GALAXY
24.02014,21.51677,20.05496,19.15532,18.60209,GALAXY
24.59595,23.36652,20.77148,19.50359,18.94081,GALAXY
19.78961,18.37835,17.59181,17.19027,16.95971,GALAXY
26.20291,21.55149,20.14042,19.37243,18.79941,GALAXY
23.35523,22.7017,21.04415,20.00181,19.43642,GALAXY
19.81567,18.79456,18.53357,18.45419,18.15144,QSO
19.7359,19.54485,19.50355,19.21009,19.26721,QSO
21.51086,19.43951,18.07255,17.51201,17.08839,GALAXY
19.68498,18.30968,17.57328,17.17262,16.87519,GALAXY
20.46739,18.93978,17.76393,17.24915,16.9149,GALAXY
23.11356,19.71627,18.28057,17.677,17.25698,GALAXY
20.17847,20.01669,20.12776,20.22924,20.24398,QSO
19.62964,18.35187,17.8232,17.49487,17.26584,GALAXY
21.31229,20.08229,18.64522,18.76135,17.92323,QSO
20.83881,18.71651,17.71995,17.29667,16.97409,GALAXY
20.42817,18.64518,17.56632,17.11959,16.79616,GALAXY
22.13064,21.60765,21.43956,21.48524,21.24907,GALAXY
24.93567,22.67808,20.79895,19.82135,19.42027,GALAXY
24.65174,22.29353,20.5298,19.67658,19.2129,GALAXY
21.09619,20.37172,20.13553,20.09274,19.77005,QSO
21.64163,20.27878,20.30463,20.35373,20.45017,GALAXY
23.10297,22.0555,20.85087,19.90421,19.41115,GALAXY
21.78785,19.1459,17.73153,17.18102,16.85885,GALAXY
25.65071,21.05155,19.30037,18.56834,18.1859,GALAXY
22.75683,20.25224,18.6833,18.11664,17.73681,GALAXY
20.55797,20.05476,20.03872,20.00054,19.89696,QSO
22.64881,21.1537,19.13083,18.40524,17.89473,GALAXY
24.14975,23.07899,20.91567,19.85005,19.47065,GALAXY
23.98392,22.22479,20.89107,19.85944,19.21085,GALAXY
25.55374,21.5043,19.58193,18.75489,18.20226,GALAXY
24.85944,21.60669,19.82213,18.87957,18.38539,GALAXY
25.41271,21.04,19.24236,18.58681,18.11619,GALAXY
23.79523,21.97237,20.28892,19.47519,18.99543,GALAXY
24.17083,20.62687,18.73116,18.0547,17.5207,GALAXY
21.35788,19.14478,17.80012,17.27695,16.89665,GALAXY
19.52704,18.97401,18.75473,18.77765,18.46137,QSO
24.65585,22.28276,20.50558,19.68958,19.22902,GALAXY
23.01951,21.28457,20.83472,20.90411,20.78902,QSO
22.10052,21.56531,21.50488,21.67155,21.2468,QSO
22.44322,20.2631,18.52335,17.86526,17.52018,GALAXY
20.75655,18.41962,17.17344,16.64321,16.24361,GALAXY
23.21181,22.78221,20.69222,19.83685,19.25204,GALAXY
25.41841,23.37471,21.09265,19.92092,19.56463,GALAXY
21.64521,20.74792,20.63012,20.77741,20.53226,QSO
20.92245,18.94494,17.69682,17.18339,16.81617,GALAXY
18.23075,18.00309,17.76361,17.56639,17.57515,GALAXY
23.37819,21.06566,20.65013,20.4932,20.26544,QSO
24.01926,22.26602,20.6263,19.77558,19.22023,GALAXY
24.67109,23.15578,21.50766,20.51066,20.2432,GALAXY
20.00557,19.01831,18.6927,18.27282,18.24921,GALAXY
23.44785,22.64687,21.05138,19.98396,19.54505,GALAXY
25.26401,22.06502,20.37405,19.5529,19.13071,GALAXY
19.19752,17.9227,17.21364,16.77053,16.53334,GALAXY
20.47579,18.54509,17.55784,17.03639,16.61115,GALAXY
24.01155,21.97768,20.11844,19.1188,18.67099,GALAXY
22.63582,20.43592,18.75611,18.14854,17.73391,GALAXY
23.41796,21.58788,19.82288,19.10302,18.76076,GALAXY
23.21141,22.31217,20.50299,19.54287,19.11397,GALAXY
20.44475,18.22478,16.92518,16.41382,16.01991,GALAXY
24.89857,21.19259,19.24654,18.57387,18.11232,GALAXY
23.95341,22.53584,20.76857,19.69596,19.11209,GALAXY
20.52357,18.70607,17.63031,17.17759,16.80552,GALAXY
22.03202,21.42087,20.10626,19.07141,18.63569,GALAXY
20.02007,18.61922,17.83876,17.40802,17.14276,GALAXY
21.62993,20.9996,20.88675,20.73706,20.55021,QSO
19.04067,18.9208,18.55106,18.24054,18.047,QSO
21.78162,21.22351,20.47479,19.72558,19.32152,GALAXY
24.51884,21.78391,20.30856,19.73179,19.27419,GALAXY
20.01767,18.02199,17.06517,16.63829,16.25477,GALAXY
20.80567,20.21161,20.11761,20.25158,19.9027,QSO
22.26842,21.84094,20.30138,19.38923,18.91441,GALAXY
25.19687,22.1475,20.4957,19.58224,19.23303,GALAXY
19.99974,18.49023,17.57969,17.14286,16.84992,GALAXY
24.18784,21.78634,20.04076,19.14431,18.7202,GALAXY
20.67499,18.39596,17.2592,16.78359,16.48242,GALAXY
19.28752,17.81003,17.10021,16.71642,16.48113,GALAXY
20.50163,18.60933,17.62325,17.16086,16.81113,GALAXY
23.08111,21.30205,19.66963,18.72132,18.3695,GALAXY
19.92633,18.20284,17.40335,17.02993,16.71284,GALAXY
22.93203,21.76732,20.92209,20.12537,19.53391,GALAXY
21.22325,19.08187,17.81754,17.25198,16.87982,GALAXY
24.26666,22.34175,20.68021,19.60982,19.01558,GALAXY
24.32536,22.58254,21.14582,20.04155,19.72565,GALAXY
20.37152,18.48898,17.26292,16.75144,16.35409,GALAXY
25.62658,22.02762,20.15137,19.13777,18.59826,GALAXY
19.73223,18.15394,17.21678,16.72291,16.33918,GALAXY
23.86038,23.13068,21.13907,19.91593,19.46453,GALAXY
24.15917,21.68388,19.72813,19.05733,18.77883,GALAXY
26.76108,22.304,20.688,19.38862,18.90056,GALAXY
22.1492,19.44625,18.02659,17.47299,17.13326,GALAXY
19.9426,18.35843,17.47025,17.08411,16.70504,GALAXY
23.37137,21.75857,20.03826,18.97223,18.28726,GALAXY
22.81826,20.84167,19.17994,18.30754,17.70285,GALAXY
18.29902,16.86968,16.19802,15.92487,15.74104,GALAXY
24.39654,21.10137,19.199,18.54407,18.04741,GALAXY
25.5024,22.11141,20.6303,19.77418,19.70387,GALAXY
19.25597,17.27186,16.38796,15.96442,15.62503,GALAXY
20.88165,19.93396,19.65022,19.5598,19.20127,QSO
22.28099,21.78954,20.30437,19.25457,20.3136,GALAXY
22.47093,20.0477,18.38904,17.78617,17.34581,GALAXY
23.06082,20.69863,19.02125,18.36187,18.04748,GALAXY
21.37411,20.74395,20.61853,20.39151,20.36756,QSO
23.65551,22.38505,20.77287,19.56934,19.08729,GALAXY
22.43801,22.85015,21.19349,19.78433,19.20719,GALAXY
22.57467,22.14926,20.82668,19.82193,19.21385,GALAXY
18.40818,17.36128,17.01452,16.76357,16.64212,GALAXY
25.16968,22.01959,20.34842,19.41226,19.03851,GALAXY
22.38934,20.7354,19.03139,18.37509,17.999,GALAXY
21.54966,20.14992,18.67835,17.97417,17.49167,GALAXY
22.17936,19.07302,17.44323,16.85018,16.50477,GALAXY
22.68038,21.56528,20.59539,19.6489,19.22348,GALAXY
26.18459,21.55109,20.46392,20.12047,19.83266,GALAXY
21.63017,20.8992,20.88788,20.82663,20.50324,QSO
19.24974,17.26312,16.47015,16.0306,15.70441,GALAXY
21.37608,20.76335,20.41525,19.95911,19.48038,QSO
23.82326,21.84986,20.08869,19.25353,18.81155,GALAXY
24.50806,23.04458,21.40463,20.36932,19.71176,GALAXY
21.51119,18.93934,17.40896,16.87436,16.55948,GALAXY
20.38894,18.51143,17.54451,17.07113,16.73448,GALAXY
23.43264,22.01168,19.98164,18.9546,18.42132,GALAXY
20.30891,18.35863,17.31942,16.85573,16.48569,GALAXY
18.53311,17.31434,16.76117,16.39557,16.21235,GALAXY
23.65088,21.93845,20.29198,19.24051,18.78969,GALAXY
27.648,21.10244,19.79523,18.85064,18.8854,GALAXY
25.17473,21.33288,19.59314,18.81192,18.46062,GALAXY
20.80186,18.66815,17.66572,17.2118,16.85006,GALAXY
19.52964,18.108,17.4372,17.06647,16.81409,GALAXY
26.39847,23.18626,21.25485,20.01636,19.5944,GALAXY
26.33237,19.68247,18.13774,17.54694,17.19842,GALAXY
20.5394,19.88947,19.74871,19.73412,19.55885,QSO
23.8102,21.76913,20.1503,19.25502,18.89907,GALAXY
21.4107,20.60833,20.62996,20.51978,20.26933,QSO
21.28515,18.9361,17.70267,17.20881,16.79108,GALAXY
22.15176,19.43154,17.94812,17.38834,17.04922,GALAXY
21.60042,19.2208,18.19787,17.73346,17.38715,GALAXY
20.1994,17.76736,16.71916,16.24631,15.84408,GALAXY
20.4988,18.76685,17.88354,17.39698,17.11954,GALAXY
24.37285,20.80655,19.04859,18.43222,18.04532,GALAXY
24.49008,21.47204,19.62465,18.94105,18.34994,GALAXY
21.7931,20.9648,20.36408,19.64081,19.39454,QSO
20.67945,18.74019,17.36992,16.79507,16.42337,GALAXY
19.35331,17.79202,17.05025,16.66172,16.38637,GALAXY
19.50368,17.54683,16.58865,16.14007,15.78278,GALAXY
18.91571,17.6188,17.08326,16.71551,16.51388,GALAXY
18.47956,16.97498,16.2303,15.80467,15.51637,GALAXY
24.08238,22.4466,20.59933,19.59321,19.22362,GALAXY
19.77625,18.60363,17.87296,17.4923,17.17202,GALAXY
18.52768,17.667,17.45312,17.28219,17.19852,GALAXY
18.61385,17.31067,16.63818,16.25843,16.04492,GALAXY
23.44328,21.82794,19.83844,19.15088,18.90711,GALAXY
26.67103,22.34375,20.86735,19.56079,19.15805,GALAXY
19.35981,17.9291,17.29595,16.96451,16.70223,GALAXY
